GeneID	nTranscripts	ES-fraction	IR-fraction	alt5-fraction	alt3-fraction	MXE-fraction	shiftedExon-fraction	Events
AT1G01260	3	0.0	0.6667	0.0	0.3333	0.0	0.0	intron_ret,alt_3prime,intron_ret
AT1G01550	4	0.25	0.5	0.25	0.0	0.0	0.0	exon_skip,alt_5prime,intron_ret,intron_ret
AT1G04300	10	0.0909	0.6364	0.0909	0.1818	0.0	0.0	intron_ret,intron_ret,intron_ret,alt_3prime,alt_3prime,intron_ret,exon_skip,alt_5prime,intron_ret,intron_ret,intron_ret
AT1G05630	3	0.0	1.0	0.0	0.0	0.0	0.0	intron_ret,intron_ret
